coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Sep 16 09:08:46 +0000 2016,archivCH datasprintAAF archives remix réutilisation,,http://frama.link/datasprint-aas,0,776709400014778372,,,,fr,,false,4,776708891191177218,daieuxdailleurs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @daieuxdailleurs: #archivCH tout savoir sur le #datasprintAAF  : https://t.co/4M3zyvBhP7 #archives #remix #réutilisation,https://twitter.com/lchristeller/status/776709400014778372,Tue Feb 19 20:20:25 +0000 2013,lchristeller,false,"Records Manager and Corporate Archivist. 'If You 'Discover' Something in an Archive, It's Not a Discovery'. All views are my own.",1305,579,701,66,"Genève, Suisse",Laurent Christeller,lchristeller,3405,,,false
,Sat Jun 04 08:49:38 +0000 2016,ChallengeAZ DatasprintAAF,https://twitter.com/tokenheiser/status/739010518678183936/photo/1,http://tokenheiser.blogspot.com/2016/04/d-comme-datasprintaaf.html?spref=tw,0,739016246751039489,,,,fr,,false,1,739010518678183936,tokenheiser,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @tokenheiser: #ChallengeAZ D comme #DatasprintAAF https://t.co/3BPzY9CXqn https://t.co/GQGlAvjTYD,https://twitter.com/EliseGenealogie/status/739016246751039489,Sun Jul 29 08:15:37 +0000 2012,EliseGenealogie,false,Généalogiste professionnelle et blogueuse. Retrouvez mon blog sur https://t.co/aqQjDo2nnU et mes vidéos de généalogie sur https://t.co/r6LECVIEzD,2441,1462,753,71,"Marne, Champagne-Ardenne",Elise Lenoble,EliseGenealogie,12437,Paris,http://www.votrehistoirefamiliale.com,false
,Wed Apr 06 09:30:46 +0000 2016,tweetprecedent AAFtroyes16 datasprintaaf,,,0,717645716412362752,,,,fr,,,2,715195259362402306,HRochetteCastel,"<a href=""http://erased12073499.com"" rel=""nofollow"">erased12073499</a>",RT @HRochetteCastel: #tweetprecedent #AAFtroyes16 Tout ça avec des logiciels libres et gratuits: open refine et cartodb #datasprintaaf,https://twitter.com/nschaetti/status/717645716412362752,Thu Jun 04 17:09:56 +0000 2009,nschaetti,false,"Doctoral researcher in #MachineLearning @IIUN_UniNE, developer of #EchoTorch, #TorchLanguage, #MindTorch and #WorldAI. YouTube #IA #ML : https://t.co/5yTVScSeTI",31056,8348,8120,2278,"Nyon, Suisse",NS.ai (Nils Schaetti),nschaetti,122852,Greenland,http://www.nilsschaetti.com/,false
,Thu Jun 09 09:48:10 +0000 2016,archives data datasprintAAF,,http://frama.link/datasprint https://twitter.com/365datafr/statuses/740800612892311553,0,740842916755742721,,,,fr,,false,1,740803007504351232,daieuxdailleurs,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @daieuxdailleurs: Et les #archives aiment aussi les #data ! http:https://t.co/gxA2AtcNXn #datasprintAAF https://t.co/aqkQfrreqH,https://twitter.com/earchiviste/status/740842916755742721,Mon Nov 15 08:36:33 +0000 2010,earchiviste,false,"Archiviste dans la sphère électronique
1ère vice présidente de @Archivistes_AAF
Maître de conférences associé @enssib",2800,1035,312,80,,Céline Guyon,earchiviste,2160,,https://www.linkedin.com/profile/preview?locale=en_US&trk=prof-0-sb-preview-primary-button,false
,Mon Apr 04 13:45:04 +0000 2016,datasprintAAF,,https://xmasclaux.cartodb.com/viz/f2835d4a-f668-11e5-b99a-0e31c9be1b51/public_map https://xmasclaux.cartodb.com/viz/fcb88758-f669-11e5-a586-0ecfd53eb7d3/public_map,0,716984935203151872,,,,fr,"Alixan, France",false,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#datasprintAAF Carte de densité de grèves en Drôme https://t.co/ZAddVWoYei et de densité de syndicat 
https://t.co/9yrnzRcBIJ @cartoDB",https://twitter.com/xmasclaux/status/716984935203151872,Tue Dec 13 16:53:39 +0000 2011,xmasclaux,false,Transformation digitale @lemoulindigital @FrenchTechVR  #innovation #smartcities #frenchtech #foodtech,30,521,429,61,Drôme,Xavier Masclaux,xmasclaux,1242,Paris,https://fr.slideshare.net/xmasclaux,false
,Sun Jul 03 19:43:38 +0000 2016,Archives datasprintAAF,,http://dlvr.it/Ljcx4l,0,749690081754112000,,,,en,,false,5,749664155922100224,daieuxdailleurs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @daieuxdailleurs: [veille] #Archives #datasprintAAF : presentation at the Swiss Open Cultural data hackathon… https://t.co/Yy1yLzFgsm ht…,https://twitter.com/CB_archiviste/status/749690081754112000,Mon Jun 03 18:51:59 +0000 2013,CB_archiviste,false,Archiviste. Toulousaine d'origine franc-comtoise. Anime notamment le compte @ToulouseArchive. Administrateur @Archivistes_AAF,1984,734,696,67,Toulouse,Catherine Bernard,CB_archiviste,2242,Paris,http://www.archives.toulouse.fr,false
,Sat Apr 02 17:44:44 +0000 2016,Gifs datasprintaaf AAFtroyes16,,,0,716320475123552256,,,,fr,,,9,716235441679245312,seeksanusername,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @seeksanusername: Créer des #Gifs animés à partir d'archives par @jeremieha des @ArchivesManche
Tuto #datasprintaaf #AAFtroyes16 
https:…",https://twitter.com/archivist_chloe/status/716320475123552256,Wed Dec 09 20:15:29 +0000 2009,archivist_chloe,false,"#Archiviste passionnée, militante et heureuse! Archivologue en devenir... Mentor du projet #EIG2018 #ArchiFiltre.
Mes tweets n'engagent que moi.",10868,1310,871,57,"Paris, France",Chloé Moser,archivist_chloe,3806,Amsterdam,,false
,Tue Apr 05 09:19:33 +0000 2016,datasprintAAF AAFtroyes16,,,0,717280503930494977,,,,fr,,,7,717250901124235265,daieuxdailleurs,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @daieuxdailleurs: En attendant que je finalise l'intro, voici tout de même le storify du #datasprintAAF #AAFtroyes16 https://t.co/yWSt7F…",https://twitter.com/peccadille/status/717280503930494977,Tue Feb 01 12:16:55 +0000 2011,peccadille,false,"Patrimoine, estampe, numérique et vélo. 
Blogueuse culture @AeroplaneOrion.
Entrepreneure patrimoine et numérique chez @CLARACAE. 
Chargée de cours.",15552,4732,1377,261,Paris/Rouen,Joh Peccadille,peccadille,61856,,http://peccadille.net,false
,Tue Apr 05 18:51:46 +0000 2016,datasprintAAF AAFtroyes16,,,0,717424506214678528,,,,fr,,,7,717250901124235265,daieuxdailleurs,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @daieuxdailleurs: En attendant que je finalise l'intro, voici tout de même le storify du #datasprintAAF #AAFtroyes16 https://t.co/yWSt7F…",https://twitter.com/HRochetteCastel/status/717424506214678528,Fri Mar 30 16:54:34 +0000 2012,HRochetteCastel,false,"Ici c'est Paris - Normandie! Chef de la cellule Numérisation et Diffusion numérique chez @Patrimoine78. Je tweete #archives, #culture, #numérique, #Normandie.",111,216,214,24,"Alençon, France",HélèneRochetteCastel,HRochetteCastel,1403,Paris,,false
,Wed Apr 20 08:08:26 +0000 2016,Rennes inventaires archives datasprintAAF,,https://docs.google.com/presentation/d/1-6EuD57kavxta5Mmi_LP0Mv5khaNmpp4eq59ObldP-s/edit?usp=docslist_api,0,722698424794116096,,,,fr,,false,3,722679406972571648,daieuxdailleurs,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @daieuxdailleurs: Sur l'évolution de #Rennes, on a fait ça à partir des #inventaires #archives #datasprintAAF https://t.co/KKEzSfA2Hl ht…",https://twitter.com/enenvor/status/722698424794116096,Thu Jan 31 10:52:12 +0000 2013,enenvor,false,Toute l'histoire contemporaine en Bretagne.,5390,1523,95,99,Quelque part en Bretagne,En Envor,enenvor,20431,,http://www.enenvor.fr/,false
